# Filter 367: HAWKI-Y @1.021um [added June 2013 - via M.Maseda]
#  350 data points. Lines   3 to 352
   6.51348E+03  -1.56567E-04
   6.53346E+03   3.42390E-04
   6.55344E+03  -9.15306E-04
   6.57342E+03   2.72489E-04
   6.59340E+03  -2.43922E-04
   6.61338E+03   1.55550E-04
   6.63336E+03  -3.55422E-04
   6.65334E+03  -3.95000E-06
   6.67332E+03   6.82000E-05
   6.69330E+03  -3.33000E-05
   6.71328E+03   5.68743E-04
   6.73326E+03   1.89000E-05
   6.75324E+03  -1.23457E-04
   6.77322E+03   4.76361E-04
   6.79320E+03  -1.65452E-04
   6.81318E+03  -5.33262E-04
   6.83316E+03  -2.00392E-04
   6.85314E+03  -9.78000E-05
   6.87312E+03   2.90597E-04
   6.89310E+03  -2.88378E-04
   6.91308E+03   4.54456E-04
   6.93306E+03   1.69140E-04
   6.95304E+03   2.84970E-04
   6.97302E+03   4.59800E-04
   6.99300E+03  -2.38000E-06
   7.01298E+03  -5.99000E-05
   7.03296E+03   4.59993E-04
   7.05294E+03  -5.42392E-04
   7.07292E+03   1.80555E-04
   7.09290E+03   1.29584E-04
   7.11288E+03  -9.93000E-05
   7.13286E+03  -5.76341E-04
   7.15284E+03   7.98146E-04
   7.17282E+03  -4.94286E-04
   7.19280E+03  -1.38000E-05
   7.21278E+03   3.43389E-04
   7.23276E+03   6.63146E-04
   7.25274E+03   4.20547E-04
   7.27272E+03  -5.16613E-04
   7.29270E+03  -1.46480E-04
   7.31268E+03   1.34179E-03
   7.33266E+03  -5.03897E-04
   7.35264E+03   7.65000E-06
   7.37262E+03  -2.27345E-04
   7.39260E+03   7.20159E-04
   7.41258E+03   9.29305E-04
   7.43256E+03   1.67988E-04
   7.45254E+03   2.38783E-04
   7.47252E+03   1.08000E-05
   7.49250E+03   8.35000E-05
   7.51248E+03   1.52818E-04
   7.53246E+03   4.65049E-04
   7.55244E+03  -1.15674E-04
   7.57242E+03   2.52764E-04
   7.59240E+03   5.43433E-04
   7.61238E+03   2.66334E-04
   7.63236E+03  -8.07000E-05
   7.65234E+03  -1.81900E-04
   7.67232E+03   1.89048E-04
   7.69230E+03  -3.20586E-04
   7.71228E+03  -2.54000E-05
   7.73226E+03   4.34000E-05
   7.75224E+03  -1.74221E-04
   7.77222E+03  -4.20284E-04
   7.79220E+03   2.01156E-04
   7.81218E+03   3.95039E-04
   7.83216E+03  -4.34797E-04
   7.85214E+03  -8.99000E-07
   7.87212E+03   6.09000E-06
   7.89210E+03   4.35328E-04
   7.91208E+03  -5.81920E-04
   7.93206E+03   4.78566E-04
   7.95204E+03   3.74317E-04
   7.97202E+03  -7.37000E-05
   7.99200E+03   2.33260E-04
   8.01198E+03   8.03148E-04
   8.03196E+03   2.90905E-04
   8.05194E+03   3.82032E-04
   8.07192E+03  -2.99604E-04
   8.09190E+03  -2.74938E-04
   8.11188E+03   1.17885E-04
   8.13186E+03  -5.18809E-04
   8.15184E+03   8.05000E-05
   8.17182E+03  -3.41177E-04
   8.19180E+03   8.40284E-04
   8.21178E+03   3.35201E-04
   8.23176E+03   4.66244E-04
   8.25174E+03  -3.10264E-04
   8.27172E+03   5.40799E-04
   8.29170E+03  -1.35788E-02
   8.31168E+03   1.59513E-03
   8.33166E+03  -3.62708E-03
   8.35164E+03  -1.06217E-02
   8.37162E+03  -7.18092E-03
   8.39160E+03  -7.85010E-03
   8.41158E+03  -8.50433E-03
   8.43156E+03  -9.68853E-03
   8.45154E+03  -3.82730E-03
   8.47152E+03  -6.03636E-03
   8.49150E+03  -5.04236E-03
   8.51148E+03  -1.28589E-02
   8.53146E+03  -9.14897E-03
   8.55144E+03  -7.02908E-03
   8.57142E+03  -7.49288E-03
   8.59140E+03  -7.47087E-03
   8.61138E+03  -5.75342E-03
   8.63136E+03  -6.25691E-03
   8.65134E+03  -7.74392E-03
   8.67132E+03  -1.02771E-02
   8.69130E+03  -1.55992E-02
   8.71128E+03   4.58545E-03
   8.73126E+03  -3.98448E-03
   8.75124E+03  -7.73803E-03
   8.77122E+03  -7.55422E-03
   8.79120E+03  -1.19647E-03
   8.81118E+03  -6.05632E-03
   8.83116E+03  -1.29175E-02
   8.85114E+03  -1.04872E-02
   8.87112E+03  -1.82225E-02
   8.89110E+03   8.62438E-04
   8.91108E+03  -7.49486E-03
   8.93106E+03  -3.01509E-03
   8.95104E+03  -6.51552E-03
   8.97102E+03  -7.57702E-03
   8.99100E+03  -9.99994E-03
   9.01098E+03  -5.02493E-03
   9.03096E+03  -6.83247E-03
   9.05094E+03  -5.29239E-03
   9.07092E+03  -9.36973E-03
   9.09090E+03  -8.21224E-03
   9.11088E+03  -8.24261E-03
   9.13086E+03  -1.38251E-02
   9.15084E+03  -2.70595E-03
   9.17082E+03  -1.03182E-02
   9.19080E+03  -5.35370E-03
   9.21078E+03  -5.13176E-03
   9.23076E+03  -6.93608E-03
   9.25074E+03   2.07287E-03
   9.27072E+03   1.87194E-02
   9.29070E+03   2.30622E-02
   9.31068E+03   1.12613E-02
   9.33066E+03   8.73529E-03
   9.35064E+03   1.00118E-02
   9.37062E+03   1.41168E-02
   9.39060E+03   3.37843E-02
   9.41058E+03   6.08785E-02
   9.43056E+03   1.30903E-01
   9.45054E+03   2.81997E-01
   9.47052E+03   5.63564E-01
   9.49050E+03   9.70407E-01
   9.51048E+03   1.35416E+00
   9.53046E+03   1.59897E+00
   9.55044E+03   1.76564E+00
   9.57042E+03   2.05953E+00
   9.59040E+03   2.71494E+00
   9.61038E+03   4.08705E+00
   9.63036E+03   7.20852E+00
   9.65034E+03   1.40830E+01
   9.67032E+03   2.81585E+01
   9.69030E+03   4.98987E+01
   9.71028E+03   7.04989E+01
   9.73026E+03   8.29993E+01
   9.75024E+03   8.91626E+01
   9.77022E+03   9.17341E+01
   9.79020E+03   9.26848E+01
   9.81018E+03   9.29649E+01
   9.83016E+03   9.29859E+01
   9.85014E+03   9.26238E+01
   9.87012E+03   9.18669E+01
   9.89010E+03   9.11761E+01
